wl	GaAs
910.042	852.393
910.253	853.364
910.463	851.865
910.674	845.193
910.884	835.997
911.095	830.889
911.305	843.306
911.516	830.638
911.726	825.793
911.937	817.583
912.147	840.802
912.358	831.386
912.568	810.269
912.779	826.089
912.989	832.773
913.199	816.835
913.41	805.757
913.62	820.017
913.831	823.517
914.041	820.135
914.252	787.993
914.462	808.978
914.672	817.784
914.883	813.956
915.093	812.461
915.304	812.355
915.514	809.759
915.725	810.174
915.935	809.106
916.145	809.318
916.356	800.578
916.566	787.129
916.777	806.717
916.987	795.753
917.197	810.172
917.408	802.486
917.618	828.013
917.828	802.914
918.039	809.134
918.249	827.961
918.459	820.54
918.67	818.877
918.88	802.629
919.091	815.876
919.301	808.433
919.511	810.21
919.722	800.595
919.932	820.177
920.142	798.47
920.353	809.195
920.563	804.548
920.773	802.379
920.984	802.357
921.194	800.697
921.404	809.224
921.614	795.089
921.825	797.258
922.035	803.817
922.245	793.98
922.456	800.546
922.666	797.727
922.876	814.526
923.086	789.719
923.297	814.072
923.507	811.274
923.717	814.659
923.927	814.125
924.138	815.884
924.348	796.965
924.558	798.437
924.768	803.694
924.979	810.83
925.189	779.658
925.332	810.402
925.543	809.479
925.754	802.953
925.964	821.868
926.175	803.435
926.386	802.323
926.596	826.014
926.807	810.218
927.018	806.617
927.229	820.486
927.439	817.088
927.65	806.187
927.861	815.225
928.071	839.6
928.282	824.569
928.493	817.202
928.703	820.383
928.914	813.086
929.125	842.346
929.335	821.707
929.546	815.916
929.757	808.097
929.967	843.586
930.178	833.112
930.389	838.366
930.599	833.233
930.81	841.531
931.021	835.379
931.231	833.085
931.442	835.195
931.652	838.776
931.863	848.001
932.074	847.497
932.284	836.468
932.495	836.448
932.706	849.053
932.916	834.793
933.127	845.82
933.337	833.364
933.548	847.313
933.759	863.156
933.969	826.875
934.18	836.537
934.39	828.612
934.601	839.242
934.812	849.357
935.022	855.364
935.233	853.304
935.443	844.197
935.654	846.483
935.864	859.804
936.075	851.4
936.286	859.04
936.496	859.244
936.707	862.695
936.917	850.544
937.128	843.857
937.338	845.26
937.549	842.291
937.759	839.932
937.97	854.258
938.18	861.074
938.391	850.988
938.601	851.624
938.812	855.663
939.022	867.077
939.233	859.039
939.443	852.8
939.654	867.221
939.864	868.198
940.075	872.645
940.285	867.138
940.496	879.772
940.706	874.713
940.917	870.958
941.127	882.475
941.338	854.875
941.548	870.602
941.759	874.009
941.969	862.195
942.18	878.646
942.39	862.299
942.6	850.49
942.811	859.792
943.021	854.157
943.232	874.632
943.442	877.652
943.653	866.309
943.863	873.644
944.073	864.214
944.284	861.242
944.494	885.75
944.705	872.71
944.915	872.356
945.126	886.415
945.336	875.503
945.546	869.771
945.757	858.21
945.967	868.923
946.178	885.839
946.388	887.677
946.598	878.576
946.809	893.822
947.019	898.38
947.229	885.035
947.44	878.344
947.65	885.249
947.86	888.57
948.071	877.843
948.281	887.397
948.492	890.613
948.702	891.837
948.912	885.495
949.123	883.333
949.333	886.213
949.543	886.28
949.754	892.276
949.964	877.265
950.174	878.482
950.385	882.015
950.595	882.682
950.805	884.62
951.016	897.268
951.226	890.694
951.436	886.973
951.646	882.106
951.857	893.75
952.067	899.323
952.277	886.872
952.487	898.868
952.698	891.517
952.908	865.268
953.118	882.292
953.329	884.669
953.539	892.857
953.749	882.87
953.959	893.422
954.17	892.833
954.38	876.917
954.59	879.189
954.8	882.78
955.01	887.018
955.221	881.478
955.431	884.067
955.641	895.357
955.851	886.379
956.062	874.364
956.272	886.91
956.482	887.817
956.692	883.583
956.902	883.163
957.113	882.091
957.323	880.442
957.533	882.995
957.743	881.042
957.953	882.856
958.164	876.027
958.374	876.994
958.584	872.276
958.794	889.822
959.004	875.103
959.214	872.739
959.425	864.131
959.635	865.314
959.845	877.049
960.055	888.237
960.265	874.969
960.475	865.625
960.685	875.402
960.896	860.643
961.106	868.4
961.316	874.683
961.526	872.353
961.736	873.294
961.946	872.321
962.156	879.342
962.366	863.459
962.576	866.71
962.786	857.27
962.997	853.625
963.207	868.267
963.417	861.472
963.627	861.841
963.837	856.314
964.047	858.763
964.257	867.986
964.467	873.546
964.677	849.39
964.887	850.208
965.097	860.972
965.307	857.84
965.517	860.839
965.727	843.776
965.938	857.084
966.147	859.407
966.358	848.527
966.568	841.695
966.778	861.31
966.988	862.86
967.198	853.215
967.408	850.167
967.618	840.665
967.828	861.255
968.038	845.6
968.248	841.988
968.458	837.618
968.668	849.91
968.878	824.943
969.088	836.689
969.297	825.287
969.508	850.282
969.717	848.708
969.927	827.844
970.137	827.781
970.347	835.83
970.557	835.601
970.767	832.216
970.977	823.485
971.187	828.311
971.397	819.992
971.607	812.628
971.817	816.083
972.027	811.643
972.237	822.388
972.447	815.754
972.657	808.075
972.866	820.002
973.076	811.73
973.286	790.186
973.496	815.306
973.706	806.672
973.916	800.442
974.126	803.611
974.336	821.245
974.546	814.175
974.755	815.962
974.965	799.692
975.175	791.036
975.385	809.07
975.595	792.64
975.805	798.32
976.015	802.977
976.224	808.583
976.434	782.578
976.644	795.877
976.854	788.757
977.064	807.125
977.274	776.584
977.483	773.158
977.693	762.673
977.903	783.156
978.113	787.868
978.323	778.855
978.532	785.285
978.742	771.111
978.952	772.459
979.108	761.189
979.318	762.945
979.528	762.081
979.739	749.24
979.949	774.626
980.159	765.51
980.369	765.993
980.58	761.359
980.79	764.691
981	767.848
981.21	773.73
981.421	765.265
981.631	761.564
981.841	761.685
982.052	757.569
982.262	753.141
982.472	754.491
982.682	760.937
982.892	746.922
983.103	754.089
983.313	750.094
983.523	760.544
983.733	743.552
983.944	740.499
984.154	743.397
